product_category,product_url,review_date,handle,rating,helpfulness_rating,review
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,23-Sep-20,Ann B,5,929,"These SUDILO Disposable Protective Black Masks are Attractive, Fit Well, and have a 3 ply filter. This mask can filter Haze, Dust, Carbinol, Spatter, and Stink.. It also has an adjustable nose clip, and very comfortable ear loops."
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,30-Dec-20,Layla Simons,5,335,I work on an ambulance and we are required to always wear masks right now even when we don’t have patients. I wanted something thinner than an N-95 for non-patient care times and something more breathable but effective. We have regular surgical masks but the fibers are always tickling my nose so I ordered these. They are very breathable but thick enough that I would say they provide good protection. They look nice and the material holds up for multiples uses. There’s also no fibers tickling my nose. I definitely recommend these for just every day use during this pandemic whether you’re a healthcare provider or anyone else.
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,22-Sep-20,Lyn,5,333,"The black masks come in a box of 50 for your daily needs. They are disposable, but thick enough and well made to get more than one use from them. They fit well over your chin and they are adjustable for a snug fit over the nose, giving them a fog free fit for glasses when adjusted properly."
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,27-Sep-20,Darla Mae Bertelle,5,294,These masks are super easy to breath in. I like that they dont form close to your mouth. Definitely recommend these!
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,19-Oct-20,Joseph Malinowski,5,194,"When I first bought masks in April I paid $10.00 for 10 masks. This price was wonderful. They are as comfortable as any other mask. I bought these for my kids and I. So no matter what, we have enough. I also love the color."
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,17-Oct-20,dr awesome,5,188,"These do the job, have ordered two sets now for the pandemic. They do make your lips feel a little waxy but they are thick so I know I’m not sharing germs. Kids love the Black color instead of the blue so it’s worth it!"
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,12-Nov-20,squaits,5,262,"I had never used a disposable mask before, mostly because I hated the look of the blue ones and because they are not environmentally friendly. However, I needed to purchase a breathable, disposable mask to wear for an extended period of time and was delighted to find an all-black option. This mask is very comfortable, lightweight, and easily stretches to fit my large head. Typically masks pull on my ears or are too tight around my mouth, but this easily fit around my face and left plenty of room to open fully. The fact that it is such a large pack of masks is great, because I will be stocked up for a long time. I even shared some with family who I thought could use a more fashionable option. I would definitely recommend this mask to anyone who is looking for a better option than the standard medical blue masks."
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,18-Dec-20,Alex Chaney,5,246,"I have to wear a mask at work and was tired of the blue medical look so I ordered these black ones.  These are multilayered masks, I have cut one open to see, with a finer screen in between the two more open pieces. Pros: Wire insert in nose piece.  That helps cut down on my glasses fogging. I can get free masks at work but they use a plastic insert and my glasses fog terribly when I try that mask. The mask is has been a good quality.  I have been trough most of a box with no ear loop failures. It is a layered mask which is required where I work. Not blue Cons:  I need a larger mask and I haven't found one yet in any brand.  At the end of the day I am beyond ready to take it off because of the tugging on my ears.  I will often use a mask keeper to hold the mask instead of using the ear loops on my ears. I have a few boxes of other masks that i have purchased because of the price but I would buy these again at 3-4x the price."
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,16-Nov-20,Amazon Customer,1,18,"Mask is lightweight and comfortable if you are using it for a day or less. Also if you don’t touch it too much or keep having to take it off and putting it back on several times during the day. If you’re like me and need to be putting the mask on and taking it off several times during the day, you will notice that it starts to deteriorate after a few hours of usage. After wearing it for a bit, the quality starts to worsen and little clothing fibers start to lift from the mask which makes it extremely itchy and uncomfortable. Additionally, the bands are not too stretchy; they rip break/rip way too easily. The good thing is that it’s easy to tie a knot and repair the band. My head is usually smaller than the average persons so the fact that it rips so easy should be concerning for people with bigger heads."
disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,13-Dec-20,Linda Horseman,1,19,Purchased based on the good reviews. These masks have very small loose fibers that feel like there is a hair in your nose.  I only wear disposable masks and have purchased different brands. These are the first that have had this issue.
