product_category,product_url,review_date,Date,handle,rating,helpfulness_rating,review
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/2/2021,Post_Covid,Den,1,,...even with short trimmed nails. I use disposable gloves for a variety of light chores and these did NOT hold up. A waste of money and I don’t recommend.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/17/2020,Post_Covid,patricia43,5,,...they offer the protection I need for chores at home including use for medical treatments to skin cuts and abrasions as well as washing dishes and cleaning up behind kitty.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/4/2020,Post_Covid,SU,1,,"1 out of every 2 gloves rips just from the force of trying to put them on or light use. Very cheap, garbage gloves. And they are a bit tight for being sized Medium"
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/13/2020,Post_Covid,Sheila M.,1,,1. They are very small. 2. They are so thin that I have to use two together. 3. They tear apart when putting them on. I do NOT recommend this product!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/26/2020,Post_Covid,casebes,1,,1st glove ripped as i put it on. Ordered medium  and Fits like an extra small! Do not waste your money! I searched for USA made and these are NOT made in USA... made in China
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/8/2021,Post_Covid,FKH,1,,"70% of the gloves ripped before I could get them on. Took a chance because price was decent, not great. Maybe you will have better luck than me☹️"
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/11/2020,Post_Covid,Arlette Meynard,4,,A bit too thin
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/10/2021,Post_Covid,TheScribe64,5,,"A good deal for the price, not flimsy and a necessary item to have on hand during the Pandemic !"
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,10/3/2020,Post_Covid,Amazon Customer,5,,A good product for the money.  Performs as expected.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/14/2021,Post_Covid,Angela R,5,,"A good value for the money, durable and I use then several times a day on a variety of uses."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/5/2020,Post_Covid,Customer2124,5,,A GREAT TRANSACTION WITH A GREAT PRODUCT! THANKS!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,12/11/2020,Post_Covid,Vviti,4,,A little small. I usually use X-small in another brand and these are a medium and they are a little too small for me.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/13/2020,Post_Covid,Allen,4,,A little thin but acceptable.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/8/2021,Post_Covid,Linda Jones,5,,A little thin but good value
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/14/2021,Post_Covid,Trouble,5,,A lot better than I expected.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,10/17/2020,Post_Covid,beto,1,,Abierto .. mal estado..
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/10/2021,Post_Covid,Jacob Nissen,1,,"About 90% of the time, the glove tore as I was trying to pull it down onto my hand. And the ones I could get on were uncomfortably tight. I've bought loads of disposable gloves before, so I know the size was right, but these were just tiny and flimsy. I will never buy these again. This experience has made me completely swear off vinyl as a material out of fear."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/28/2020,Post_Covid,Mary Sedo,1,,Absolutely poor quality each glove tore each time and I know how to use them: used daily for 40
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,2/25/2021,Post_Covid,LeeAnn Hearne,5,,"After ordering several boxes of different types of gloves for protection of my hands from becoming too dry and cracked from hand washing and domestic task in the past few years, I like the Medpride vinyl gloves the best."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/29/2020,Post_Covid,Parker,5,,Allergic to hand sanitizer. I use the gloves to substitute for any touching outside my home. I've used hand sanitizer/ soap and water on the gloves. They have not broken down from the chemicals.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/26/2021,Post_Covid,molly1,4,,Although the gloves are not as thick as some they have not torn and since they are used once durability is not an issue.  Medium has worked well for our female caregivers.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/18/2021,Post_Covid,marjean hendryx,5,,Around the house for cleaning
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/20/2020,Post_Covid,Annetta E. Dellinger,5,,Arrived fast! good quality gloves and great fit. Will use for general cleaning.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/23/2020,Post_Covid,Orlen Powell,5,,Arrived on time
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,5/29/2020,Post_Covid,Jessica K,1,2,Arrived quickly but I tore the first one that I put on in two places.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/25/2020,Post_Covid,cfalk,4,,Arrived with a blue powder all over it. My hands are stained blue from touching it!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,12/6/2020,Post_Covid,Dorothy Wing,4,,As advertised
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/30/2020,Post_Covid,Pde,5,,as advertised
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/14/2020,Post_Covid,bill roberts,3,,as advertised company is straight forward
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/1/2020,Post_Covid,james faedtke,5,,as advertised.  no issues or problems
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/28/2020,Post_Covid,Misty,5,,As described
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,12/27/2020,Post_Covid,vivian,5,,As described in listing
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,2/5/2021,Post_Covid,Alvy71,5,,As described. Comparable to the ones you would use at work in healthcare.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/11/2020,Post_Covid,Peter Michael,5,,As discribed
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/30/2020,Post_Covid,Lisa C,5,,"As I have purchased this product during the COVID-19 Pandemic, I feel it was slightly price gauged. Thus, my 4 star rating. I like that your hands don't smell like the gloves after wearing them as is the case with nitrile gloves."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/10/2020,Post_Covid,ElinRW,2,One,As soon as you put these on a hole is torn in the upper part of the glove. Tried it several times with same result. Can still be used but won't re-order. Gloves are very thin.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/11/2020,Post_Covid,Julie Button,5,,Awesome
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/8/2020,Post_Covid,Peggy D.,1,One,Awful . Not the same gloves I received in March . Like thin “ Food service “ gloves . Same manufacturer
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,6/18/2020,Post_Covid,Alexios,1,2,Awful fit and tears easily.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/23/2021,Post_Covid,Karl & Sherry,1,,Bad quality i have to say it
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/29/2020,Post_Covid,happy2be,5,,Bad. I have small hands and these are not wide enough.  Also they tear very easily.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/2/2020,Post_Covid,K. Leonor,1,One,"Based on common standards, these fit as ""Small"" rather than ""Medium"" making them difficult to put on and take off.  Sometimes I rip them off just to get it over with.  I bought them for grocery shopping during this quarantine period and they have torn easily, defeating their purpose."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/23/2020,Post_Covid,Sandra Ward,5,,"Best glove for me for cleaning, shopping."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/9/2020,Post_Covid,Krishna Kumar,5,,Best quality
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,12/26/2020,Post_Covid,kay green,5,,Best value. Good quality. I’ve ordered several time!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/4/2020,Post_Covid,Christi,3,,Better than nothing. Using them to work in a retail store and they easily rip. I’ve had better disposable gloves for sure! But I truly appreciate it either way at this moment in time with what is going on. Thank u!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/23/2020,Post_Covid,Judy Mehl,1,,Beware!!! These run very small!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/13/2020,Post_Covid,Robert Legasey,1,,Both my wife and I could not pull the gloves on without ripping them
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/28/2020,Post_Covid,cavman,5,,Bought 2 boxes as they were good quality.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,11/5/2020,Post_Covid,BadBarbara,5,,"Bought for work, exactly as described."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/12/2021,Post_Covid,Aarati shrestha,1,,"Bought it, used it but highly disappointed. Although it says vinyl examination glove it's not even close. Stay away from it, it's a poorly built knock of product."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/5/2020,Post_Covid,kukit,1,3,Bought medium size gloves for shopping groceries. I have small hands(usually wear xsmall or small regular gloves). These barely fit and rip. Useless save your money.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,9/3/2020,Post_Covid,Carolyn D,2,,Bought them because they were out of Nitrale Gloves.  Big mistake !  Assisted living where they are changing gloves every time they enter a room.  They do not like them!  They are sitting there not being used even when they had to go to other end of building to get some.  I finally have sub par ones and they still won’t use them .  Definitely won’t get them again.  No Vinyl!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/24/2021,Post_Covid,Linda Rusche,5,,Bought them for my sister. She likes them.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/2/2021,Post_Covid,Kailan,3,,"Bought these when there was a shortage of gloves in the stores. They were good gloves but tear easily while cleaning, scrubbing etc"
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/17/2020,Post_Covid,Landa,5,,bought this for my sister who's sensitive to latex and she said these work great her hand doesn't irritate when sweating like most non latex gloves do to her.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/1/2020,Post_Covid,Potaje,1,5,Box arrived crushed with gloves hanging out of it
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,7/23/2020,Post_Covid,teacozy,3,,Box came damaged
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/31/2021,Post_Covid,Anthony,1,,Box was open and they are made in china. Junk.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,10/5/2020,Post_Covid,Yao Feng,1,,Broken box
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,4/15/2020,Post_Covid,Ernesto Leone,5,,Buenos de excelente  calidad y rapido
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/26/2021,Post_Covid,Amazon Customer,5,,Came on time and fits nicely
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,5/6/2020,Post_Covid,John Gude,1,One,Can’t get on my hands. Too small.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/31/2020,Post_Covid,Sherri Harris,5,,"Can't have too many these days! These are perfect for my uses. Food handling, house cleaning, gardening, etc.!"
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,10/23/2020,Post_Covid,Mom,2,,Cant really use them...too small and rip when they are stretched
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,10/20/2020,Post_Covid,Brenda Alavicheh,5,,Care of senior family member with health problems.. insuring safety of all those within house.  Plus daughter uses at work to prevent any contamination from work to home.  Masks and gloves!
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,10/25/2020,Post_Covid,M. Feygin,2,,"Certainly one of the worst gloves I’ve seen. They are thin, which is actually good, but not durable at all. Putting them on 3 times out of 5 results in a need to get another glove as the first one rips apart."
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/29/2020,Post_Covid,Billy buck fish,1,,Cheap cheap gloves. They literally rip every time I put them on. Do not waste your money.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,12/4/2020,Post_Covid,Tracy,1,,Cheap gloves. Rip as you put on.
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,1/4/2021,Post_Covid,john graham,1,,Cheap tear trying to get them on
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,8/21/2020,Post_Covid,Verda L. Verda's Cakes & Things,2,,"Cheaply made, top pulls apart when applying. Overall very flimsy, tears easy.  I do not recommend this item :("
disposable_gloves,https://www.amazon.com/dp/B07KYV178H,3/24/2021,Post_Covid,Amazon Customer,5,,Cleaning
