product_category,product_url,review_date,Date,handle,rating,helpfulness_rating,review
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,11/2/2020,Post_Covid,Swiszms,5,,"(4) 80 count canisters are a great value for the money. Same quality as the single canister. I had no issue with broken or spilled canister. All 12 came perfectly packed, and secure. Do not hesitate to purchase if you get the chance."
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,1/6/2021,Post_Covid,alundra,1,,4 out of 4 arrived smashed and damaged. There is no longer a seal on them so they arrived with liquid spilled all the bag (not box) they arrived in. Quality seems to have gone downhill.
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,3/10/2020,Post_Covid,Mandy,5,,A absolutely must have for all households and for in garage as well.
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,10/23/2020,Post_Covid,Hui,3,,A little expensive.I bought from Walmart.It’s cheaper than it
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,1/23/2021,Post_Covid,D. M. Wilkerson,5,,"A much needed household cleaning product for our family.  Like the smell of ""clean"".  Purchased with coupons and saved ""big"" on packages of 3 and 4.  A BIG win!"
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,2/4/2021,Post_Covid,Cricketlm,5,,A must
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,12/13/2020,Post_Covid,L. White,5,One,❤
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,1/5/2021,Post_Covid,JJ Myers,5,,Absolute necessity
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,12/28/2020,Post_Covid,Jill Schub,3,,"Absolutely love them , but ours had no liquid left they leaked everywhere! Had no labels left on the containers!"
disinfecting_wipes,https://www.amazon.com/dp/B00Q70RCW6,11/10/2020,Post_Covid,Sheryl Nathan,5,,"Actually arrived packaged extremely well and not damaged! This was my main concern based off orher reviews. Not sure if I was one od the lucky ones or the packaging process has improved. Either way, Im tickeled pink/grateful. Needed Lysol wipes like you wouldnt believe!"
