,product_category,product_url,review_date,handle,rating,helpfulness_rating,review
1000,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,20-Apr-20,Ms. Piklewhitz,3,52,"I ordered three boxes of these gloves. When the package originally arrived, we checked the boxes which did not look like they were tampered with. I had no issues with the first box (which is why I am giving three stars), and was almost finished with the second box (a few gloves at the bottom remaining). When I went to use a pair this morning, I discovered that one of the gloves in the box was stained with what looked like a translucent brown liquid that had dried! I threw the rest of the box out!!!!"
1001,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,18-Mar-20,Amazon Customer,2,44,"The gloves are all right, nothing impressive. But, the package arrived damage and the opening is broken. Was it on purpose? How could you crush an actual box this bad during delivery, when delivery bag seems fine but the product looks like someone teared it open. Very disappointed in the arrival condition would not buy again."
1002,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,18-Apr-20,Christine L.,1,38,"This is the worst product. These gloves rip just putting them on & they’re not even tight. I’m very disappointed. I won’t order them again. What’s the point of having gloves if they rip just putting them on. I buy a LOT of gloves, but I won’t buy these again. You have to be so so careful, I don’t want to risk them tearing while I need protection."
1003,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,26-Jul-19,Amazon Customer,1,40,Tears easily. Very thin.
1004,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,2-Apr-20,solomka20,1,26,"I got the gloves with a ripped up box. The outside package was perfectly fine so you can tell it was shipped that way. Since I need to wear them to stay safe from Corona, that doesn’t seem very safe."
1005,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,26-Mar-19,DietMJ,5,26,"I needed clear vinyl gloves for a cooking demo.  It's next to impossible to find them in the store- most don't fit well or come in odd colors.  I have small hands (ring size 4-5) and was concerned about the fit.  As some of the other reviews mentioned the gloves run a little small, I ordered size medium.  They were a perfect fit!  Worked well for food prep and held up to normal use.  Will order again whenever this large box runs out."
1006,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,27-Mar-20,Ziggy3339,5,19,"That said, they’re fine. I worked in an emergency room and always double glove for infectious diseases. Recommend you do that as well . These are not thick and durable in times when we are trying to practice staying away from the Ovid-19."
1007,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,25-Jul-19,GOD IS IN CONTROL,5,15,Great quality gloves for a great price. They are not thin and they don't easily tear like some other gloves that I have used in the past.
1008,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,24-Jul-20,Amazon Customer,1,6,I have a genetic immune disorder so I've been buying medical gloves for years. Usually I buy the blue nitrile ones but they were not available at the time. So I bought these instead. Total mistake. These gloves rip at the wrist every single time I put one on. Only buy these if you are extremely desperate. Appalling that companies can sell such subpar products for medical use. People with immune disorders should get prioritization like hospitals on medical supplies that we have needed for every day life before the pandemic and now even more so.
1009,disposable_gloves,https://www.amazon.com/dp/B07KYV178H,18-Jul-20,E,1,7,"I have to use gloves for cleaning certain things regardless of covid and these are awful! I can't imagine these are really used in the medical profession. Maybe as a last resort, as in my case. These have some thickness but they rip at the wrist before you can get them all the way on because they have little ability to stretch. They are a bit skinny and the fingers are kind of long, they aren't a true size medium. If I get them on without ripping they almost always roll up around the wrist. I'm pretty annoyed at this purchase because not only are they worst gloves I've ever used, it's price gouging, I'm getting really sick of amazon allowing this on here."
