,product_category,product_url,review_date,handle,rating,helpfulness_rating,review
0,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,23-Sep-20,Ann B,5,929,"These SUDILO Disposable Protective Black Masks are Attractive, Fit Well, and have a 3 ply filter. This mask can filter Haze, Dust, Carbinol, Spatter, and Stink.. It also has an adjustable nose clip, and very comfortable ear loops."
1,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,30-Dec-20,Layla Simons,5,335,I work on an ambulance and we are required to always wear masks right now even when we don’t have patients. I wanted something thinner than an N-95 for non-patient care times and something more breathable but effective. We have regular surgical masks but the fibers are always tickling my nose so I ordered these. They are very breathable but thick enough that I would say they provide good protection. They look nice and the material holds up for multiples uses. There’s also no fibers tickling my nose. I definitely recommend these for just every day use during this pandemic whether you’re a healthcare provider or anyone else.
2,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,22-Sep-20,Lyn,5,333,"The black masks come in a box of 50 for your daily needs. They are disposable, but thick enough and well made to get more than one use from them. They fit well over your chin and they are adjustable for a snug fit over the nose, giving them a fog free fit for glasses when adjusted properly."
3,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,27-Sep-20,Darla Mae Bertelle,5,294,These masks are super easy to breath in. I like that they dont form close to your mouth. Definitely recommend these!
4,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,19-Oct-20,Joseph Malinowski,5,194,"When I first bought masks in April I paid $10.00 for 10 masks. This price was wonderful. They are as comfortable as any other mask. I bought these for my kids and I. So no matter what, we have enough. I also love the color."
5,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,17-Oct-20,dr awesome,5,188,"These do the job, have ordered two sets now for the pandemic. They do make your lips feel a little waxy but they are thick so I know I’m not sharing germs. Kids love the Black color instead of the blue so it’s worth it!"
6,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,12-Nov-20,squaits,5,262,"I had never used a disposable mask before, mostly because I hated the look of the blue ones and because they are not environmentally friendly. However, I needed to purchase a breathable, disposable mask to wear for an extended period of time and was delighted to find an all-black option. This mask is very comfortable, lightweight, and easily stretches to fit my large head. Typically masks pull on my ears or are too tight around my mouth, but this easily fit around my face and left plenty of room to open fully. The fact that it is such a large pack of masks is great, because I will be stocked up for a long time. I even shared some with family who I thought could use a more fashionable option. I would definitely recommend this mask to anyone who is looking for a better option than the standard medical blue masks."
7,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,18-Dec-20,Alex Chaney,5,246,"I have to wear a mask at work and was tired of the blue medical look so I ordered these black ones.  These are multilayered masks, I have cut one open to see, with a finer screen in between the two more open pieces. Pros: Wire insert in nose piece.  That helps cut down on my glasses fogging. I can get free masks at work but they use a plastic insert and my glasses fog terribly when I try that mask. The mask is has been a good quality.  I have been trough most of a box with no ear loop failures. It is a layered mask which is required where I work. Not blue Cons:  I need a larger mask and I haven't found one yet in any brand.  At the end of the day I am beyond ready to take it off because of the tugging on my ears.  I will often use a mask keeper to hold the mask instead of using the ear loops on my ears. I have a few boxes of other masks that i have purchased because of the price but I would buy these again at 3-4x the price."
8,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,16-Nov-20,Amazon Customer,1,18,"Mask is lightweight and comfortable if you are using it for a day or less. Also if you don’t touch it too much or keep having to take it off and putting it back on several times during the day. If you’re like me and need to be putting the mask on and taking it off several times during the day, you will notice that it starts to deteriorate after a few hours of usage. After wearing it for a bit, the quality starts to worsen and little clothing fibers start to lift from the mask which makes it extremely itchy and uncomfortable. Additionally, the bands are not too stretchy; they rip break/rip way too easily. The good thing is that it’s easy to tie a knot and repair the band. My head is usually smaller than the average persons so the fact that it rips so easy should be concerning for people with bigger heads."
9,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,13-Dec-20,Linda Horseman,1,19,Purchased based on the good reviews. These masks have very small loose fibers that feel like there is a hair in your nose.  I only wear disposable masks and have purchased different brands. These are the first that have had this issue.
10,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,4-Jan-21,Jessgeee,1,14,"This mask is sleek and nice . Better than wearing a blue disposable mask ,but it Sheds to much on the outside and you can it feel it inside your nose. The material making your nose itchy . Save your money and buy them somewhere else"
11,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,16-Jan-21,Ivan,1,11,These masks are by far the worst I’ve had. The masks arrived with a strong chemical smell like burnt plastic. I was suspicious and after just a couple of wears my face started breaking out in a rash and I’ve never experienced anything like it. I’m afraid to wear them now. The material is also very thin and the woven material started falling apart on the first wear. The one nice thing about them is that they cover a good amount of face but I wouldn’t recommend them after my purchase.
12,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,7-Feb-21,Ella,1,11,"Loved this mask at first. I’m always wearing black so I felt like this was a must have. Also disposable masks are a tad bit easier to breath in so I said win win. After a week of wearing them I started to notice my breathing was acting a little weird.. the only new thing was the mask since I needed it for work. I’m not 100% sure what they use to make these masks but something ain’t right. Went back to my normal mask and I felt better In just one day of not wearing these disposable masks. Also quick note , I often wore the regular blue disposable masks and I never had an issue till I tried these. I know a lot of people who still wear them , maybe I was just allergic to something in it but I don’t personally recommend."
13,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,5-Jan-21,Angela,1,11,"This mask is comfortable around the ears and fits well however it ends up with ""fuzzies"" on the inside and you constantly feel like you have to remove something from your lips/mouth area. Won't buy this kind again.  Also the straps break easily. These are Garbage."
14,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,26-Dec-20,Adam,1,9,I have broken like 10 of these in 2 days. I am not even kidding. The ear loops have terrible connection to the mask itself. Lie its being help with freaking stick glue lol. Try a dif brand if I were you.
15,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,6-Jan-21,Jacob Sanchez,1,9,"Appearance and style is a 5 star, presentation is really good, but the quality would be Zero stars if i could leave that! The very first one i put on lasted literally 5 minutes, at first it felt great, but as soon as i went to adjust it, and lightly i might add, it popped very easy, so i thought maybe a put on a defective one, so i put on the second one... boom popped in a few minutes again. The third one lasted little longer over an hour, i was like ""forget it"". VERY POOR QUALITY! Don't waste your money. WOULD NEVER BUY THESE AGAIN!"
16,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,8-Feb-21,Chris Fullerton,1,7,"Not what you see in the picture. Single ply, will make your glasses fog up and THEY SMELL LIKE PAINT. Wore one of these for a full day and began to get nauseous. Amazon should pull this product from their site. Most likely carcinogenic and made in China. On the other hand, you might get a little head high from the paint fumes that they dyed them with, so if that's a plus, might want to buy these!"
17,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,8-Oct-20,DM decor,2,11,"Very disappointed with these mask! They arrived in a beat up box, the packaging was broken and they are super THIN!!! Don’t bother ordering these! I trash them IMMEDIATELY!!"
18,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,5-Nov-20,Cricut crafter,5,231,"These masks are super comfortable to wear. I like the black because it doesn’t get discolored from my makeup. Also doesn’t rub all of my makeup off, just very little. Also my face doesn’t get steamy and feel moist after wearing for long periods, worn for up to 10 hours at work. I like the throw away masks because they seem cleaner than reusable masks that probably aren’t washed often enough. I like to put a stack of these masks in my car and have in case someone in my family forgets their mask at home. Definitely would recommend!"
19,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,8-Dec-20,Sherndina Moreland,3,8,"This mask has a chemical order, very off putting. I do like the black color. As comfortable behind ears, as the blue stretchy mask everyone is wearing, but the material is somewhat stiff. I placed  them on hangers in the garage to air out...still smell the oder  in my room, where I opened the box. Will not order again due to chemical smell and stiffness of material.  Small note inside said manufactured in China."
20,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,2-Jan-21,My Aun Lia,2,6,"Firstly, I purchased theses masks because I wanted disposable black masks. I use the standard blue on a daily basis but I wanted black to stand out a bit. The masks are relatively nice, generally... but the material becomes fuzzy very quickly. It was worn just during daily routine but the fuzz from the material continually irritated my nose and mouth. I got another mask and it did the same thing almost instantly, another mask and same problem.... Basically, the moment a new mask is opened and stretched to place on your face the material instantly becomes looser and fuzzes. Its as if the mask material is missing a layer of protectant over the fabric. I do not recommend these masks to wear for longer than 20 minutes maximum because if you remove the mask and return it to your face the material becomes unbearable. Because of that, I do not recommend and I would not order again."
21,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,13-Dec-20,Pa3cya,1,7,This is falsely described. This is most definitely 1 ply. I bought this black one and a box of 50 purple masks from a different company together. Right away I saw the box with the purple masks is much bigger. Right away I can feel that the black mask was like a cheap paper napkin. Then I decided to try it on and I could see through it. Returned it right away.
22,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,13-Nov-20,Kawaiimami,1,6,I’ve bought every kind on face mask/ shield possible since the pandemic started. These particular ones are the worst. Not only are the really big and uncomfortable. It literally had this weird scent. Not strong but still every time I breathed I would smell it. The first one I pulled out of the bag broke (explains why they give so many) also after wearing all day my ears were hurting. It was so big there is gaping in the side of my face . I also never had trouble breathing comfortably in other masks but this one made my face feel hot. One star for the black color.
23,disposable_mask,https://www.amazon.com/dp/B08GQZYSWK,26-Dec-20,Yuval Romer,1,8,Look good but Not good quality. The inner lining comes apart and becomes like fuzz and is uncomfortable to breathe. Lining comes off and the fuzz goes into nose And mouth: it is also itchy
