review_date,handle,rating,helpfulness_rating,Counterfeit,review
8-Aug-20,S,1,3270,1,Full manufacturer name is Guangzhou Powecom Labor... This GB2626 mask is on the CDC ist of masks that does not meet  standards.
3-Aug-20,Rob F,5,1158,0,"1) The Anit-Counterfeit label was vetted via the Guanzhou Powercom Chinese website, and was found to be authentic.  I have developed products with anti-Counterfeit labels, and this label looked authentic and was similar to others I have used in the past.  I made up a dozen random numbers and none came up as authentic except for the one on the package label. 2) I also cut one of the 10 masks up, and it is in fact constructed they way they describe with the right number of layers, the right number and type of melting attachment points, and the right type of fabric / material at each layer. 3) And it is on the FDA list, and is not on the FDA removed list. So for the above 3 reasons, I have high confidence that this is an authentic KN95 Respirator.  (I'm no professional...)"
30-Jul-20,Don Germann,4,501,0,"Just received the product; major concern was the absence of the Qualification Certification (providing the production date and FDA approval) that was advertised to be included in the bag.  However using the FDA website I was able to validate that the product is included on the latest FDA Emergency Use Authorization List as advertised.  The anti-fake validation procedure appears to work; it identified  the number on bag as valid and also reminded me I had already checked this number before (I did.)  Also attempted to spook the system by entering an invalid number and it reported a fake.  Only problem is the ear loops are a bit tight, but, I believe, workable. Don G"
28-Aug-20,Kevin Riggle,5,433,0,"Since California is on fire once again, and earlier in the year than I think any of us expected, I hastily went looking for N95 masks for my house to replace the ones we all donated to local hospitals back in March.  After far too long wading through too many questionable Amazon sellers and the CDC's emergency use authorization list, I settled on these. Pros: - A reputable Chinese manufacturer (Guangzhou Powecom Labor Insurance Supplies) - On the CDC emergency use authorization list (*) - Being sold by the same seller the listing mentions (Innovate Tech) - Not sold out or earmarked for medical and first responders - Reasonably priced (~$3/mask) (*): From the looks of it, the CDC tested 5 Powecom samples, four of which filtered >95% of particles and one of which filtered 93-94% of particles, which is why it's on both the ""good"" list (four times) and the ""bad"" list (once).  This is confusing on the CDC's part, but I believe it's what is happening.  While these results suggests some potential quality control issues on Powecom's side or counterfeiting issues on the importing and distribution side (e.g. Amazon), and I wouldn't buy these masks as a hospital stockroom administrator unless I was out of better options, for wildfire smoke as a private citizen, the choice between a mask that doesn't quite filter 95% of particles and no filtration at all is an easy one. Cons: - A KN95 mask, not an N95 mask (**) - An earloop design rather than a headband design (but see **) ** Apparently the big difference between the Chinese KN95 standard and the US N95 standard *is* that earloop designs are allowed under the former but not under the latter.  The article I read on the difference said it's because the US believes it's harder to achieve an appropriately airtight fit with the earloop designs.  I've struggled with mask fitting my face in the past, and especially with masks fogging up my glasses, so I was worried about this. The masks arrived today and tl;dr I'm very happy with them.  They arrived from Innovate Tech, sealed in the official packaging as depicted, and the Anti-Fake Label verified correctly on Powecom's site.  The masks themselves feel good---the nose piece is solid but easy to shape, the material is soft and thick without being heavy, and pinching and pulling at the masks makes it obvious there are three layers of material (front and back shell layers and the filter layer). As mentioned by other reviewers, the ""holes"" in the mask where light shines through are solid. They're not actually air holes the places where the mask material has been sintered together---a quick fit test demonstrated that the masks can achieve an airtight fit. I'm pleasantly surprised by how well the earloop design fits me.  The test for a KN95 or N95 mask is if you can achieve an airtight fit with it, and the way you check is by putting it on and then inhaling quickly.  If you feel the mask press against your face when you do, and you don't feel or hear air escaping out the sides, then you've got a good fit and will get the full protection of the mask.  Despite the earloop design and a day's growth of stubble, I still got an airtight seal with these masks. I would absolutely buy these again, highly recommended if you're in California or another state dealing with fires and smoke right now."
22-Jul-20,Gale P.,2,357,0,"Even though these masks seem well made, they are too small and tight.  I found it very difficult to breathe while wearing it because there is no room in the mask and it’s kind of smashed against your face.  My husband couldn’t even put one on because it was so small.  I would not recommend."
4-Aug-20,Gerard Muller,5,317,0,"In March I started wearing a 3MN95 mask I had on hand until the rubber band broke. With the unavailability of N95 masks I then went to KN95 masks. Of the three KN95 mask suppliers I've used, this mask appear to be best because while the elastic ear loops are tight they assure that the mask seals well which is the objective here, after all. The tight seal is made more bearable by virtue of the soft material used at the edges. When testing the edge leakiness by breathing hard in and out I didn't notice any leakage. As for the filter efficiency I'll have to depend on the FDA testing for that. Overall, the best of the masks I've used, including the 3MN95 which is too restrictive for long, active use."
21-Aug-20,John W. Carney,1,211,1,Shortly before delivery we received an email from the manufacture of the masks indicating the delivered masks might be “fake.”  The email stated a verification code could be found by scraping the coating from a label on the packaging that would reveal numbers that could be entered on the manufacturer's site to check authenticity. Unfortunately the numbers revealed on our packaging were extremely small and worse were partially removed by the scraping.  While the attempt to help was commendable it’s execution was not. If you buy these masks scrape carefully and have a magnifying class at hand.
30-Jul-20,Marvin,4,152,1,"Top heading says efficiency is 99.2% but package has no such statement.  Package just says >95%, which typically just means ""slightly"" over 95%.  Other than that issue masks seem ok but there is no way to test this.  I bought this product since the advertisement seemed to indicate that it was better filtering than the basic 95% masks. I consider this advertising just a bit misleading."
21-Jul-20,Toni,5,115,0,I had bad experiences with different masks before and I was curious if I will really like this mask. It was easy use and easy to breath with this mask. Finally I found what I am looking for. I will buy again.
3-Sep-20,LBP,5,77,0,"Good Lord, are some people just insane? No, these were not made in 2006. No, they are not undersized. No, they are not uncomfortable. No, they do not have dirt and hair on the inside or outside. No, they are not fake or unapproved. I can only conclude, as often seems to be the case, that there is a hidden agenda underlying the 1-star reviews. I am a 6'-1"" man. The masks fit perfectly well and are perfectly comfortable on both me and my wife. They are the same size as every other mask I have, and I own four brands. They are thicker and seem to be higher-quality than the other Chinese masks I have, which cost so much they were still overpriced after the seller had refunded half the purchase price. I bought 20 of these for less than I had paid for 6 of the other Chinese masks. I see absolutely no downside to these, and I have no hidden agenda or dog in the mask wars."
