,product_category,product_url,review_date,handle,rating,helpfulness_rating,review
2000,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,30-May-20,G550,1,863,"While I do believe this is real germ-x, it is not like any other germ-x I have bought. It is extremely watery. If you look at the inactive ingredients you will see that water is the first ingredient (ingredients are listed in order of volume in products) on the older bottle I have bought a few months ago, water is the last inactive ingredient. No wonder this was inexpensive, it is watered down by the manufacturer. Wish I could return it. (New bottle is on the left in the picture, old bottle on the right)"
2001,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,28-Apr-20,Maria,5,258,"This is a listing for legitimate Germ X made by the actual manufacturer and distributed by Amazon. I was in shock that I got an order of it successfully during this time. It arrived 3 weeks earlier than expected. It is 4 large bottles. I ordered universal pumps for 32oz bottles to use with these bottles. If/when this listing becomes available, trust that you are buying the actual product."
2002,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,22-May-20,hollyjj,5,240,"***** UPDATE******  Hi Y'all!  I wanted to give some updated information to my review below.  I ordered a second batch of this, and it was different.  The cap was mint green (not white), and the label was crooked.  The amount of alcohol is different (62% on the mint green cap, and 63% on the white cap).  So.......I called the manufacturer, VIJON, and left a message.  I thought I'd never hear anything, and the sweetest lady called me back in about 3 hours.  She had me read the batch numbers on both bottles, and said they are both legit.  She said they ran out of white caps, and had to switch to green caps.  She said they are producing hand sanitizer about 24 hours a day, and they are getting them out as fast as they can, so the labels are not perfect.  She also said they do make different formulas of their product, and the difference in alcohol percentage was normal. So I still don't think any of these are fake as long as you bought them from Amazon and not a 3rd party seller.  Hope that helps! I am shocked to see all the folks claiming this is fake.  I do agree the bottles weren't quite as full as I thought they should be, but we should have been paying $24 for this, rather than $18, so I wonder if a machine malfunctioned and didn't fill to the top, and they took that into consideration?? Amazon maybe got a special deal on them?  Mine were sold and shipped from Amazon, and not a 3rd party seller.  Anyway....I don't agree these are fake.  The bottles look fine, labels look legit, product inside seems fine, and smells good.  It's a strong scent of alcohol, but on my hands, I can smell the aloe!  I snagged several orders of these for myself, friends, neighbors, and our office.  Every order I got was the same, and I am pleased.  Especially since they were less than $5 a bottle!"
2003,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,30-Apr-20,Jennifer Mitchell,3,128,I don't usually write reviews.  I am grateful for the product itself however this is NOT actual Germ-x.  The bottles arrived opened not sealed.  They are not actually filled all the way.  The sanitizer is quite runny.  I will not buy from this seller again.
2004,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,13-May-20,BabyA,5,128,"I can't believe that people are REALLY claiming the authenticity of this Germ-X. The price is absolutely wonderful and great in a time of need to keep around. As a big germaphobe already, I have used Germ-X for years. I did receive one bottle with the top squished and I lost a small amount of sanitizer, which was probably due to poor package handling. The bottles were not sealed but lids tightly screwed and this is normal, even when bought at Walmart they aren't sealed. My bottles weren't filled to the top but no sanitizer I've ever bought has been filled to the top.. The scent is light, sanitizer isn't sticky and provides you with the coverage you need to keep your hands germ free. If you haven't used Germ-X as a child in school or as an adult in your everyday routine, you'll be naive to others claims. And unless your bottle is turned upside down in the box, even with improper package handling, it isn't possible that every last ounce was emptied out. If you still aren't convinced, if you have it and don't believe it's real then just take a sniff and you'll quickly smell the alcohol. It is the regular consistency of hand sanitizer as well."
2005,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,14-Aug-20,Kas 2156,5,91,"This product shipped promptly. I read reviews and got nervous about the authenticity. Called as soon as I have the lady the batch number she told me the bottle size and percent Alcohol. She also said the formula is different from old bottles but it is a genuine product. I went to a ""germX"" website and asked her she said it's a third party site so they don't have anything to do with it listing the old formula in the ingredients. Let's all relax the system still works. GermX customer service was great but I felt stupid for calling, it's real. To address the bottles being sealed.... Never have I bought germX at Walmart and the bottle was sealed, people are just paying attention now when they were oblivious before. Hope this helps."
2006,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,9-May-20,Mr Brock bro gamer Suss,5,74,"A lot of reviewers  have made comments about the authenticity of this item. Mine arrived in an Amazon box and inside was a sealed box from the manufacturer, Germ X.  No issues, no leaking, no half empty bottles, or spilling of product. If you are able to order this product I wouldn’t hesitate, it will probably come before your promised time frame. It’s a great deal. I will be using liter pumps  to dispense."
2007,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,27-Apr-20,Amazon Customer,5,61,"This is great Sanitizer of high quality to get in such crisis, specially brands like Purell or Germx. I would like to thanks Amazon for speedy delivery. Highly recommended."
2008,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,10-May-20,Stephanie Todd,1,53,"Buyer be ware. I was excited to order these on Amazon and at a reasonable price during this time. Unfortunately, you get what you pay for. The bottle caps were all loose, old gummy “sanitizer” on the side of the caps, all bottles were various levels and clearly not the real germ-x sanitizer. I don’t know what is truly in the bottles. Out of precaution, I had to throw them away as I did not trust what was inside the bottles."
2009,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,4-May-20,A,1,49,"Is this real? None of the bottles came with a seal, so I have a feeling it is a fake product :("
2010,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,9-May-20,J. Lillard,1,46,I did not like that 1 bottle came almost empty. No cracks or holes in bottle or box just empty. So bizarre 👎🏼
2011,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,13-May-20,johnandstaci,1,42,"Bottles are not sealed, different volumes of liquid, labels on the bottle not is same place."
2012,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,15-May-20,Amazon Customer,1,34,Bottlles are not sealed and are damaged. Caps not all the way screwed tight and spilled in the box. I waited almost a month to receive it. Extremely disappointed and dissatisfied. Strange thing it doesn't even smell like germ-x hand sanitizer.
2013,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,7-May-20,Yolanda,1,32,This product came with no safety seal and it wasn't full. I dont feel this is real Germ-X. Beware!!!!
2014,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,16-May-20,Candy C,5,25,"Wow... I am so thankful I was finally able to get sanitizer. Just like another reviewer I was doubting if it was going to come at all. Ordered 4/22 Deliver today 5/16. So it took a while but considering the situation I can’t complain. My bottles were not broken nor half empty, packaging was well done. A smaller box fully taped inside a bigger amazon box. One had a few ounces missing but again I will not complain. The price was just phenomenal less than $20 for all! I feel like I won the jackpot. As far as the smell I actually like it. So definitely 2 thumbs up in general."
2015,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,12-May-20,Flameheart,5,21,"This is legit! This is the real stuff! I don’t know why the other reviews say otherwise, but the ones I received were authentic! Like what the other review said, mine also came in Amazon box and in it is the sealed box of the sanitizers directly from Germ-X manufacturer. There were no damage in the product at all, no leaks or damaged bottles. I will buy again if it becomes available!"
2016,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,22-Sep-20,LIZY,1,19,OPEN IT AND IT WAS NOT THE ORIGINAL FORMULA.. THIS WAS A CHEAP HAND SANITIZER PUT INTO THE BOTTLE.. BUYER BEWARE.. NOW YOUR PRODUCTS.
2017,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,26-Apr-20,Dana,5,21,Arrived early!
2018,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,29-May-20,hballparks,1,20,I don't usually write reviews. I am grateful for the product itself however this is NOT actual Germ-x. The bottles arrived opened not sealed. They are not actually filled all the way. The sanitizer is quite runny and smells nothing like the bottle I currently have from Walgreens. Labeling on bottles are askew and lids keep popping off because they do not fit.  Will be returning as a have no idea what's in the bottles.
2019,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,22-Sep-20,CiCiBaby,1,18,"There's no way this is genuine Germ-X. It smells terrible, like rancid sanitizer. Bleh!"
2020,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,14-May-20,jc,5,11,"Ordered 4/21, didn't ship until 5/12 and arrived in 2 day prime shipping. THIS IS FOR THE SOLD AND SHIPPED BY AMAZON. If you bought this from Amazon as the seller and it came with a smaller Germ-X manufacturer sealed labelled box containing all 4 bottles, YOU'RE GOOD. It's the real deal. All bottles were filled level and even, exp dates (2022) and labels were all stamped uniform, there were some air bubbles present with the labeling, but that's normal. Smells awful but that's hand sanitizer. There's no plastic safety wrap or inner seal, so for those who got (double) crushed boxes, peeling labels, leaky uneven bottles, I don't know who you can blame. Imagine trying to buy this in store then where anything can be easily tampered then? I don't remember anything having seals. I'm very happy with this purchase, now to find some pumps and mini bottles."
2021,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,22-Aug-20,Dana Larabell,1,16,I was supposed to get 24 Germ-X hand sanitizers and only received 20. I ordered these for our Cross Country Team and now I don’t have enough for each runner.
2022,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,23-Sep-20,Adam,1,15,"This is clearly counterfeit, smells odd and bottle caps don't even match the bottles appropriately. I cannot trust that the correct alcohol was used to create this, so I'm forced to get a refund from Amazon and throw the product in the garbage since it is not returnable."
2023,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,20-May-20,Sarah,1,17,"First off, I only received 3 bottles not 4. All of the bottles were open, leaking, and caked in dirt. There is even what I’m assuming is dirt floating in one of the bottles. I highly doubt this is actual germx. This is not returnable and getting a refund looks impossible. Do not buy into this SCAM."
2024,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,22-Sep-20,Amazon Customer,1,16,This is not real GermX. It smells like a really bad cheap perfume. It’s just terrible. And they do not allow returns.
2025,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,28-Jun-20,C.H. Vig,1,16,"I wish I could NOT give a star... Total disappointment!!!!! Just arrived today and I was so excited, as the package arrived 2 weeks before it was supposed to. Then the disappointment set in after opening the box, I could see right away that these 4 bottles are NOT the normal Germ-X I have bought in the stores before the crisis.  They were watery and the smell is different compared to the ones I just had bought at a well-known grocery store a few weeks ago. Now I'm out of the $$ as you cannot return this item due safety reasons, flammable, etc (but they can be delivered... ??).  How can I be confident that my order is safe to use?  There was NO seals on any of the bottles and the caps were barely on there, this just DOES NOT look nor smell the same as of other bottles of Germ-X I have.  I will not be using this crap on my hands, just can't trust what may be in these bottles.  With all the news media showing certain companies/brands adding methanol, who can trust that is not in these?  AGAIN, NO SEALS ON BOTTLES. It's just NOT worth the risk. Now just one more unknown product going into our landfills."
2026,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,24-Sep-20,Amazon Customer,1,15,This is not the real Germ-X.  This product stinks and  I would not recommend it to anyone.
2027,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,20-Sep-20,Claudia,1,14,"FAKE. Do not purchase. It is not the original GermX Hand sanitizer. FAKE. FAKE. FAKE. The will ship to you no problem, but will not allow to return because it’s a “flammable product. FAKE PRODUCT!"
2028,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,25-Jun-20,drealeah,3,10,"I’ve read all the bad reviews and want to chime in. Yes; this hand sanitizer is watery compared to precious Germ X. Mine also didn’t come with a seal under the cap (clear cap). It also doesn’t smell amazing at all. However, I SO want it to be legit so I called the customer complaint line from the back of the label. Based on the lot number, they were able to verify my product, they knew the expire date (which matches the bottles). They explained that they have two “original” formulas and this one is simply different ingredients but equally effective. Anyway, I feel better now, but def agree it arrives looking a little suspect."
2029,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,16-May-20,Amazon Customer,2,16,"Out of the four bottles contained in this pack, two of them were broken and leaking when I received them today. The system won’t let me ask for a replacement either."
2030,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,7-May-20,𝗔𝗺𝗮𝘇𝗼𝗻-𝗔𝗵𝗼𝗹𝗶𝗰,5,12,I ❤️ GermX!
2031,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,18-May-20,Cynthia G.,5,8,"After reading the reviews of spilled and possibly fake contents, I was pretty worried about what I would get.  I received my order today (after waiting nearly a month), and it's for real.  The bottles came in a sealed Germ X box, and there was no leakage.  They are flip tops, and the bottle are not sealed, but they aren't sealed if you find them on a store shelf either.  My cousin got a 32-ounce bottle at Target, and he verified that.  The bottles held slightly different amounts, but the one with the least fluid had as much as the picture my cousin sent.  Also, I had talked to Vi-Jon the manufacturer, when I saw the review, and the person told me to look for a seven-digit batch number in black. probably starting with ""04,"" followed by the expiration date, and all the bottles had that.  They are all from the same batch.  It feels fine and smells good.  So, after all that, I'm very satisfied and these bottles will last me for a very long time."
2032,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,16-May-20,Kim Usher,1,13,All 4 bottles were open and wasting out. How?! Very disappointed in this after waiting a month for this.
2033,hand_sanitizer,https://www.amazon.com/dp/B085V653L5,27-Apr-20,tammy2471,5,8,"Product was delivered earlier than expected. Product is exactly as described. I'm very happy with this purchase considering how hard it is getting hand santizer,and the price is grrreat! Thank you Amazon! This will last my family awhile as I have older parents that really need this!"
